cause_id,cause_name,include
294,All causes,1
295,"Communicable, maternal, neonatal, and nutritional diseases",
296,HIV/AIDS and tuberculosis,
297,Tuberculosis,1
298,HIV/AIDS,1
300,HIV/AIDS resulting in other diseases,
301,"Diarrhea, lower respiratory, and other common infectious diseases",
302,Diarrheal diseases,1
318,Intestinal infectious diseases,
319,Typhoid fever,
320,Paratyphoid fever,
321,Other intestinal infectious diseases,
322,Lower respiratory infections,1
328,Upper respiratory infections,
329,Otitis media,
332,Meningitis,1
333,Pneumococcal meningitis,
334,H influenzae type B meningitis,
335,Meningococcal meningitis,
336,Other meningitis,
337,Encephalitis,1
338,Diphtheria,1
339,Whooping cough,1
340,Tetanus,1
341,Measles,1
342,Varicella and herpes zoster,
344,Neglected tropical diseases and malaria,
345,Malaria,1
346,Chagas disease,
347,Leishmaniasis,
348,Visceral leishmaniasis,
349,Cutaneous and mucocutaneous leishmaniasis,
350,African trypanosomiasis,
351,Schistosomiasis,
352,Cysticercosis,
353,Cystic echinococcosis,
354,Lymphatic filariasis,
355,Onchocerciasis,
356,Trachoma,
357,Dengue,
358,Yellow fever,
359,Rabies,
360,Intestinal nematode infections,
361,Ascariasis,
362,Trichuriasis,
363,Hookworm disease,
364,Food-borne trematodiases,
365,Other neglected tropical diseases,
366,Maternal disorders,
367,Maternal hemorrhage,
368,Maternal sepsis and other maternal infections,
369,Maternal hypertensive disorders,
370,Maternal obstructed labor and uterine rupture,
371,"Maternal abortion, miscarriage, and ectopic pregnancy",
375,Indirect maternal deaths,
376,Late maternal deaths,
379,Other maternal disorders,
380,Neonatal disorders,
381,Neonatal preterm birth,1
382,Neonatal encephalopathy due to birth asphyxia and trauma,
383,Neonatal sepsis and other neonatal infections,
384,Hemolytic disease and other neonatal jaundice,
385,Other neonatal disorders,
386,Nutritional deficiencies,
387,Protein-energy malnutrition,
388,Iodine deficiency,
389,Vitamin A deficiency,
390,Dietary iron deficiency,
391,Other nutritional deficiencies,
392,"Other communicable, maternal, neonatal, and nutritional diseases",
393,Sexually transmitted diseases excluding HIV,
394,Syphilis,
395,Chlamydial infection,
396,Gonococcal infection,
397,Trichomoniasis,
398,Genital herpes,
399,Other sexually transmitted diseases,
400,Acute hepatitis,
401,Acute hepatitis A,
402,Acute hepatitis B,
403,Acute hepatitis C,
404,Acute hepatitis E,
405,Leprosy,
408,Other unspecified infectious diseases,
409,Non-communicable diseases,
410,Neoplasms,
411,Esophageal cancer,
414,Stomach cancer,
417,Liver cancer,
