,location_id,ihme_loc_id,location_name,Adol Birth Rate,Air Poll Mort,Alcohol Use,Cert Death Reg,Child Overweight,Child Sex Abuse,Child Stunting,Child Wasting,Conflict Mort,Disaster Mort,"FP Need Met, Mod",HH Air Poll,HIV Incid,Health Worker Dens,Hep B Incid,Homicide,Hygiene,Int Partner Viol,Malaria Incid,Mat Mort Ratio,Mean PM2.5,NCD Mort,NTD Prev,Neonatal Mort,Non-Int Partner Sex Viol,Occ Burden,Physical Violence,Poisoning Mort,Road Inj Mort,SDG Index,Sanitation,Sexual Violence,Skilled Birth Attend,Smoking Prev,Suicide Mort,TB Incid,UHC Index,Under-5 Mort,Vaccine Cov,WaSH Mort,Water,cluster
0,33,ARM,Armenia,52.4,41.1,63.0,97.4,20.3,100.0,80.2,83.3,100.0,100.0,37.4,88.9,64.4,96.7,35.3,58.4,89.8,86.6,100.0,64.9,39.6,48.7,95.6,59.8,99.9,44.1,83.8,54.1,75.7,68.4,75.8,99.0,99.5,38.1,55.8,63.2,71.8,68.9,95.8,76.4,96.6,4
1,34,AZE,Azerbaijan,36.6,34.9,52.6,86.3,18.8,100.0,74.8,79.0,100.0,100.0,25.5,86.7,70.7,96.3,24.6,57.2,93.0,86.7,100.0,63.4,58.8,28.9,95.4,23.5,99.9,51.9,82.3,43.9,80.3,62.7,59.2,93.3,96.3,42.8,86.3,41.8,60.8,37.9,72.3,58.2,88.3,4
2,35,GEO,Georgia,35.2,37.9,43.9,66.3,18.0,100.0,81.6,92.7,100.0,100.0,52.0,74.7,55.5,90.3,37.7,56.6,91.9,97.5,100.0,55.3,53.6,33.3,95.6,55.0,99.7,52.0,95.2,44.4,42.4,62.5,62.7,100.0,99.0,35.9,60.0,49.4,64.7,65.4,84.6,75.6,88.9,4
3,36,KAZ,Kazakhstan,47.0,51.3,29.6,88.3,38.6,96.0,84.1,89.6,100.0,100.0,85.5,89.6,51.9,96.8,32.1,36.8,91.7,93.3,100.0,73.9,74.2,34.4,95.8,53.7,94.4,46.7,87.9,12.3,48.1,61.7,59.2,98.7,99.6,39.6,12.0,48.0,67.6,59.6,66.9,72.8,88.6,4
4,37,KGZ,Kyrgyzstan,40.6,39.7,51.6,97.6,65.9,100.0,73.1,93.4,100.0,31.5,67.5,76.4,50.6,84.7,24.3,50.8,88.5,66.0,100.0,54.6,56.7,41.1,92.7,35.7,100.0,54.2,69.0,29.1,48.8,58.8,18.7,90.7,99.6,52.1,47.6,40.0,60.7,51.2,72.7,60.5,81.9,4
5,38,MNG,Mongolia,49.7,32.2,55.2,73.2,46.5,99.9,75.1,96.1,100.0,25.9,72.2,72.3,77.3,96.5,6.1,37.9,71.3,81.6,100.0,53.2,34.5,17.2,91.6,33.3,100.0,57.4,84.1,11.1,44.7,51.4,25.6,95.8,98.8,33.0,29.4,34.8,56.3,45.4,80.6,60.9,65.2,4
6,39,TJK,Tajikistan,30.3,27.6,82.2,60.6,69.4,100.0,47.8,43.8,100.0,48.0,51.8,71.2,60.9,78.0,32.1,59.9,75.9,70.1,100.0,64.0,29.8,34.0,86.1,22.4,100.0,49.4,71.4,53.1,72.8,56.6,31.6,93.2,92.0,85.8,71.4,41.1,48.6,31.1,83.4,33.3,72.8,1
7,40,TKM,Turkmenistan,59.4,40.4,57.9,83.0,27.8,99.9,81.1,87.4,100.0,100.0,80.6,99.8,70.9,93.6,23.7,53.5,86.3,85.8,100.0,82.5,56.6,22.6,94.8,30.6,99.9,56.6,84.2,52.2,79.0,66.3,52.6,99.1,99.3,54.3,53.7,47.0,60.1,42.4,64.8,60.8,77.9,4
8,41,UZB,Uzbekistan,45.2,26.0,60.1,85.8,35.8,100.0,68.3,77.6,100.0,100.0,90.7,87.7,62.2,89.3,26.0,64.0,86.8,84.4,100.0,62.7,47.5,24.3,93.7,37.1,100.0,52.6,84.1,36.2,53.8,65.3,36.5,97.7,99.8,80.3,50.4,51.4,59.6,47.2,97.5,63.9,86.7,4
9,43,ALB,Albania,59.6,55.4,53.3,77.6,22.4,75.0,63.6,62.9,100.0,69.3,12.9,75.8,99.9,83.1,63.9,66.3,96.7,97.3,100.0,84.4,60.1,72.2,100.0,53.8,88.8,40.7,89.4,66.7,71.4,65.2,85.6,98.9,99.4,24.9,76.7,79.3,78.5,62.2,87.8,85.5,79.1,4
10,44,BIH,Bosnia and Herzegovina,77.0,43.4,32.4,80.2,28.4,70.2,88.0,92.4,100.0,100.0,17.4,77.4,99.9,74.8,62.7,69.8,98.5,89.4,100.0,89.5,45.4,54.2,99.9,62.5,80.6,63.0,89.5,62.4,79.1,62.5,94.0,91.9,99.6,10.0,64.0,66.5,72.8,78.3,51.9,92.4,91.9,4
11,45,BGR,Bulgaria,39.3,48.6,28.9,79.9,30.0,70.1,86.4,88.3,100.0,100.0,59.7,89.8,74.7,93.3,53.3,69.6,99.4,84.4,100.0,68.7,58.4,36.4,100.0,68.7,59.2,66.8,89.6,60.7,67.9,61.2,99.3,87.6,99.6,4.4,50.0,73.9,74.5,74.1,81.5,89.1,93.3,4
12,46,HRV,Croatia,77.6,62.9,33.8,97.3,28.5,70.2,89.0,90.6,100.0,100.0,46.3,93.2,83.4,98.0,58.3,88.7,99.6,100.0,100.0,93.4,60.9,66.1,99.9,78.9,85.1,59.1,89.6,73.1,74.4,67.1,98.1,90.0,99.5,5.4,43.4,86.1,89.0,88.1,68.5,93.1,95.0,2
13,47,CZE,Czech Republic,71.0,66.2,15.0,91.8,33.3,67.2,96.8,88.3,100.0,100.0,81.4,98.7,83.2,99.8,63.8,87.2,99.9,93.6,100.0,95.1,64.9,69.6,99.9,98.0,41.6,50.4,89.6,55.6,78.0,69.2,99.9,85.4,99.5,22.9,44.5,98.5,91.1,97.5,70.8,83.7,97.1,2
14,48,HUN,Hungary,55.7,58.8,18.2,98.2,35.1,70.2,88.5,90.0,100.0,100.0,65.6,89.8,82.4,87.5,37.7,80.9,99.8,86.0,100.0,78.6,64.7,45.3,99.9,81.1,71.7,61.2,89.5,66.1,79.5,67.4,94.5,89.7,98.9,21.8,32.4,91.4,84.4,85.4,72.2,80.6,96.4,4
15,49,MKD,Macedonia,64.1,47.8,73.9,86.9,39.0,52.9,91.0,90.5,100.0,100.0,9.8,84.7,91.6,83.3,66.9,75.9,99.4,91.1,100.0,85.1,42.3,49.2,99.9,56.0,79.5,70.5,89.5,70.3,78.8,64.2,93.1,99.8,98.9,7.6,64.4,70.3,74.6,68.8,61.1,90.6,93.4,4
16,50,MNE,Montenegro,73.8,49.6,20.4,86.0,13.0,70.0,85.9,89.5,100.0,100.0,41.3,80.4,81.9,85.0,70.1,60.7,98.8,90.9,100.0,89.4,55.0,49.1,99.9,81.7,78.6,75.7,89.5,54.0,72.3,59.4,96.9,93.5,99.0,3.5,50.4,79.9,79.2,89.4,53.6,98.7,85.2,4
17,51,POL,Poland,70.6,61.3,25.6,80.0,46.6,65.0,89.6,90.8,100.0,100.0,49.7,95.1,76.8,91.3,73.3,78.5,99.7,100.0,100.0,98.1,55.4,57.0,99.9,79.6,72.5,53.8,89.6,60.1,68.1,69.2,98.3,93.2,99.8,26.1,33.4,82.9,84.9,87.3,70.6,90.5,95.6,2
18,52,ROU,Romania,42.7,55.9,3.3,90.8,36.4,70.1,82.6,84.3,100.0,65.7,52.9,89.1,62.6,86.9,46.9,74.5,97.3,86.9,100.0,71.5,68.3,45.0,99.9,67.0,90.6,45.4,89.6,30.9,65.1,57.4,82.3,88.6,99.6,30.2,51.4,52.5,77.5,71.1,61.0,77.9,90.5,4
19,53,SRB,Serbia,65.1,41.5,15.2,74.6,49.5,58.5,88.4,85.9,100.0,100.0,31.5,79.1,78.7,71.0,65.6,69.7,99.3,90.1,100.0,78.1,48.8,46.3,99.9,75.6,79.6,53.1,89.5,69.5,75.6,61.6,95.1,91.3,99.7,16.6,37.6,71.4,78.8,84.3,68.0,88.8,94.1,4
